numexp,Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropie,AMACBIOSYNTHsousexpr,BIOSYNTH_CARRIERSsousexpr,CELLENVELOPEsousexpr,CELLPROCESSESsousexpr,CENTRINTMETABOsousexpr,ENMETABOsousexpr,FATTYACIDMETABOsousexpr,Hypoprotsousexpr,OTHERCATsousexpr,PURINESsousexpr,REGULFUNsousexpr,REPLICATIONsousexpr,TRANSCRIPTIONsousexpr,TRANSLATIONsousexpr,TRANSPORTPROTEINSsousexpr,AMACBIOSYNTHsurexpr,BIOSYNTH_CARRIERSsurexpr,CELLENVELOPEsurexpr,CELLPROCESSESsurexpr,CENTRINTMETABOsurexpr,ENMETABOsurexpr,FATTYACIDMETABOsurexpr,Hypoprotsurexpr,OTHERCATsurexpr,PURINESsurexpr,REGULFUNsurexpr,REPLICATIONsurexpr,TRANSCRIPTIONsurexpr,TRANSLATIONsurexpr,TRANSPORTPROTEINSsurexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre,condition,condition,PopCentri,PopCentri,PopCong,PopCong,PopLyo,PopLyo,PopSto3,PopSto3,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,Mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,4,230000000000,370,35000000000,354,6700000000,467,250000000,986,1.2439313127,0.0044368975,53.2022942161,0.4772707205,0.2499339573,4.4828606876,0,0.0511436252,0,6.5187014098,33.6892036315,0.0802235417,0.171,17,3,17,6,2,13,6,101,72,22,19,9,5,40,65,0,3,0,0,0,0,0,3,3,0,2,0,0,0,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,3,300000000000,390,39000000000,381,11000000000,451,78000000,1002,1.7744632717,0.0041388408,50.3646239634,0.4168732762,0.1013320954,3.1347333186,0,0,4.4149450451,5.0496648737,34.7392253151,0,0.169,38,8,30,5,8,43,7,139,82,14,13,19,0,40,83,0,1,2,0,0,2,1,24,16,0,6,7,0,0,8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,30,4,190000000000,398,33000000000,382,16000000000,452,1000000000,822,2.2679719044,0.0029640288,56.6270550111,0.349538203,0.0553289999,3.4756376665,0,0,0,3.2284203801,33.9930838062,0,0.163,7,6,0,0,1,5,4,26,17,3,6,6,0,0,14,6,4,22,10,7,31,3,146,74,4,14,25,1,49,60,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,#VALEUR !,,,,,,1,"0,8671328671",0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,"0,006993007",0,0,0,0,0,0,0,0,"0,013986014",0,"0,034965035",0,0,"0,013986014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007","0,020979021",0,0,"0,013986014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006993007",0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,2,"0,775",0,0,0,0,0,0,0,0,0,0,0,"0,0166666667",0,0,0,0,0,0,0,0,0,0,0,0,"0,0083333333",0,0,"0,0083333333",0,"0,0166666667",0,"0,025",0,0,0,0,0,0,"0,0166666667","0,0083333333","0,025",0,0,"0,0083333333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0083333333",0,0,"0,025",0,0,"0,025",0,0,0,0,0,0,0,0,"0,0083333333",0,0,0,0,"0,0083333333",0,0,0,0,0,"0,0083333333",0,0,0,0,0,0,0,0,"0,0083333333",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,3,"0,6736842105",0,"0,0105263158","0,0105263158",0,0,0,0,0,0,0,0,"0,0210526316",0,0,0,0,"0,0105263158",0,0,0,0,0,0,0,"0,0105263158",0,0,0,0,"0,0315789474",0,"0,0210526316",0,0,0,0,0,0,"0,0210526316","0,0210526316","0,0421052632",0,0,"0,0105263158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0105263158",0,0,"0,0315789474",0,0,"0,0210526316","0,0105263158",0,0,0,"0,0105263158",0,0,0,"0,0105263158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0105263158","0,0105263158",0,0
,,,,,,,,,,,,,,,,,,,,,,,4,"0,76",0,0,0,0,0,0,0,0,0,0,0,"0,0114285714",0,0,0,0,0,"0,0114285714",0,0,"0,0114285714",0,0,0,0,0,0,"0,0114285714",0,"0,0171428571",0,"0,0057142857",0,0,"0,0057142857","0,0057142857",0,0,"0,0114285714","0,0057142857","0,0342857143",0,0,"0,0171428571",0,0,0,0,0,0,0,0,"0,0057142857",0,0,0,"0,0057142857",0,0,0,0,0,"0,0057142857",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0057142857",0,"0,0057142857","0,0171428571",0,0,"0,0057142857","0,0057142857",0,0,0,"0,0057142857",0,0,0,"0,0057142857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0057142857",0,0,0,"0,0057142857","0,0114285714",0,0
