15,0.098,CFAdivUFA,Temperature,47859.2538161024*CELLPROCESSES*FATTYACIDMETABO + 0.0249318244952807*Temperature*Age^2 - 18.6071697044555
21,0.098,CFAdivUFA,Temperature,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
7,0.386,UFAdivSFA,Temperature,0.460656693936134 - 0.00333801658500451*Temperature*Age
9,0.166,UFAdivSFA,Temperature,0.772693879207662 - 0.00765464278532187*Temperature - 0.121458669049365*Age
25,0.309,Anisotropie,Temperature,0.14751114930914 + 7.27584132737736*AMACBIOSYNTH + 1.07440721401943*BIOSYNTH_CARRIERS + 0.0159207398935076*Age + 0.00203849347452191*Temperature - 0.0144716072739041*ENMETABO - 2.77031164851122*TRANSPORTPROTEINS
15,0.743,AMACBIOSYNTH,Temperature,0.0202302887981018 + 0.00396732754862978*Age + 0.000569052908629298*Temperature - 0.00016361794332602*Temperature*Age
23,0.724,AMACBIOSYNTH,Temperature,0.0288607619891455 + 0.000180333694264311*Temperature*Age + 0.000115535734811206*Age^3 - 5.07874649264851e-5*Temperature*Age^2
24,0.716,AMACBIOSYNTH,Temperature,0.482573901521289 + -321.308515767396/(39.5701625094395*Temperature + Temperature*Age + Temperature^2) - 0.00299775271978755*Age - 0.00972240079607085*Temperature
15,0.746,BIOSYNTH_CARRIERS,Temperature,0.0167052813163933 + 0.00222498638259329*Age + 0.000263633212287872*Temperature - 6.08571303566431e-5*Temperature*Age
16,0.729,BIOSYNTH_CARRIERS,Temperature,0.0313854051787916 + 0.00250368736568674*Age + -0.198849788859814/Temperature - 7.1490506762132e-5*Temperature*Age
21,0.694,BIOSYNTH_CARRIERS,Temperature,0.0192478388052373 + 0.000820957001148538*Age + 0.000257020108161043*Temperature + 0.000200700047404973*Age^2 - 5.97710857415368e-5*Temperature*Age
22,0.641,BIOSYNTH_CARRIERS,Temperature,0.0646395684759348 + 0.00379653799113819*Temperature + (0.400885489453903*Age - 0.397419794869524*Temperature)/(47.5275243795913 + Temperature) - 0.00482714739097536*Age
17,1.000,CELLPROCESSES,Temperature,0.0243169728018013 + 4.44261347494168e-9*Temperature*Age + 6.665293298079e-5*Age^2 - 1.10757266229897e-5*Temperature
19,1.000,CELLPROCESSES,Temperature,0.0243169728018013 + 6.665293298079e-5*Age^2 + 4.44261347494168e-9*Temperature*Age^2 - 1.10757266229897e-5*Temperature
5,0.855,CENTRINTMETABO,Temperature,0.0144910300217042 - 5.6416364777086e-5*Temperature
11,0.743,CENTRINTMETABO,Temperature,0.0128681768247078 + 0.000461899713671355*Age - 1.57810911818667e-5*Temperature*Age
