date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
35695.00,201.1,6.6,5.41,219.5,5.9,3.83,18.4,-0.7,-1.58,53.5,0,65.36,123.25
35702.00,219.5,5.9,3.83,239.3,5.35,3.67,19.8,-0.55,-0.16,45.9,0,71.57,119.2
35709.00,239.3,5.35,3.67,237,4.91,3.56,-2.3,-0.44,-0.11,16.3,22,82.79,117.65
35681.00,191.9,5.88,4.38,219.5,5.6,3.62,27.6,-0.28,-0.76,52.2,0.5,74.07,112.9
35688.00,219.5,5.6,3.62,244,4.35,3.23,24.5,-1.25,-0.39,55.5,92,66,129.1
35695.00,244,4.35,3.23,260.1,4.05,2.06,16.1,-0.3,-1.17,53.5,0,65.36,123.25
35702.00,260.1,4.05,2.06,271.8,3.4,1.9,11.7,-0.65,-0.16,45.9,0,71.57,119.2
35709.00,271.8,3.4,1.9,267.2,3.47,1.83,-4.6,0.07,-0.07,16.3,22,82.79,117.65
35681.00,155.9,10.78,10.2,183.9,9.3,7.38,28,-1.48,-2.82,52.2,0.5,74.07,112.9
35688.00,183.9,9.3,7.38,202.2,7.05,5.64,18.3,-2.25,-1.74,55.5,92,66,129.1
35695.00,202.2,7.05,5.64,213.6,6.3,4.99,11.4,-0.75,-0.65,53.5,0,65.36,123.25
35702.00,213.6,6.3,4.99,224.1,5.6,4.46,10.5,-0.7,-0.53,45.9,0,71.57,119.2
35709.00,224.1,5.6,4.46,229.9,5.26,4.42,5.8,-0.34,-0.04,16.3,22,82.79,117.65
35681.00,174.9,6.37,4.9,196.5,5.75,4.35,21.6,-0.62,-0.55,52.2,0.5,74.07,112.9
35688.00,196.5,5.75,4.35,214.8,4.5,3.95,18.3,-1.25,-0.4,55.5,92,66,129.1
35695.00,214.8,4.5,3.95,226.4,3.95,2.66,11.6,-0.55,-1.29,53.5,0,65.36,123.25
35702.00,226.4,3.95,2.66,231.1,3.75,2.56,4.7,-0.2,-0.1,45.9,0,71.57,119.2
35709.00,231.1,3.75,2.56,229.9,3.57,2.12,-1.2,-0.18,-0.44,16.3,22,82.79,117.65
35681.00,189.7,5.77,4.3,211.4,5.1,3.52,21.7,-0.67,-0.78,52.2,0.5,74.07,112.9
35688.00,211.4,5.1,3.52,233.4,4.2,3.16,22,-0.9,-0.36,55.5,92,66,129.1
35695.00,233.4,4.2,3.16,250.7,4.05,2.18,17.3,-0.15,-0.98,53.5,0,65.36,123.25
35702.00,250.7,4.05,2.18,260.1,3.7,1.98,9.4,-0.35,-0.2,45.9,0,71.57,119.2
35709.00,260.1,3.7,1.98,256.4,3.47,1.75,-3.7,-0.23,-0.23,16.3,22,82.79,117.65
36052.00,153.7,10.4,7.39,177.2,9.12,7.05,23.5,-1.28,-0.34,54.8,4,73.57,109.3
36059.00,177.2,9.12,7.05,182.8,7.9,5.45,5.6,-1.22,-1.6,45.7,43.5,74.57,118.75
36066.00,182.8,7.9,5.45,191.86,6.87,4.84,9.06,-1.03,-0.61,19.9,33,81.71,101.4
36073.00,191.86,6.87,4.84,191.9,6.54,5.38,0.04,-0.33,0.54,18.7,12.5,82.71,82.6
36080.00,191.9,6.54,5.38,206.8,6.29,4.76,14.9,-0.25,-0.62,19.3,11,82.21,98.15
36052.00,181.7,7.61,4.84,206.8,6.66,4.58,25.1,-0.95,-0.26,54.8,4,73.57,109.3
36059.00,206.8,6.66,4.58,213.6,5.59,3.61,6.8,-1.07,-0.97,45.7,43.5,74.57,118.75
36066.00,213.6,5.59,3.61,222.83,5.41,3.52,9.23,-0.18,-0.09,19.9,33,81.71,101.4
36073.00,222.83,5.41,3.52,226.4,5.53,3.96,3.57,0.12,0.44,18.7,12.5,82.71,82.6
36080.00,226.4,5.53,3.96,240.3,5.28,3.02,13.9,-0.25,-0.94,19.3,11,82.21,98.15
36052.00,164.8,10.15,7.1,186.3,8.74,6.72,21.5,-1.41,-0.38,54.8,4,73.57,109.3
36059.00,186.3,8.74,6.72,189.7,7.72,5.83,3.4,-1.02,-0.89,45.7,43.5,74.57,118.75
