date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
42655.00,210,6.75,4.9,214,5.95,5,4,-0.8,0.1,31.2,2.8,78.86,81.15
42627.00,152,10.55,11.8,165,8.95,8.7,13,-1.6,-3.1,21.3,18.7,79.64,116.5
42634.00,165,8.95,8.7,181,7.9,7.6,16,-1.05,-1.1,56.4,0,65.43,121.25
42641.00,181,7.9,7.6,194,6.95,5.6,13,-0.95,-2,41.7,12.7,74.5,106.45
42648.00,194,6.95,5.6,211,6.7,6.1,17,-0.25,0.5,45.3,0,71.86,79.7
42655.00,211,6.7,6.1,217,6.45,5.6,6,-0.25,-0.5,31.2,2.8,78.86,81.15
42627.00,162,9.2,10,166,7.95,7.4,4,-1.25,-2.6,21.3,18.7,79.64,116.5
42634.00,166,7.95,7.4,200,6.55,5.7,34,-1.4,-1.7,56.4,0,65.43,121.25
42641.00,200,6.55,5.7,199,6.35,4.4,-1,-0.2,-1.3,41.7,12.7,74.5,106.45
42648.00,199,6.35,4.4,225,6.55,4.7,26,0.2,0.3,45.3,0,71.86,79.7
42655.00,225,6.55,4.7,218,6,5.6,-7,-0.55,0.9,31.2,2.8,78.86,81.15
42627.00,146,10.3,11.5,154,8.1,7.6,8,-2.2,-3.9,21.3,18.7,79.64,116.5
42634.00,154,8.1,7.6,174,7.25,6.2,20,-0.85,-1.4,56.4,0,65.43,121.25
42641.00,174,7.25,6.2,175,6.5,4.4,1,-0.75,-1.8,41.7,12.7,74.5,106.45
42648.00,175,6.5,4.4,169,7.15,6.8,-6,0.65,2.4,45.3,0,71.86,79.7
