1,1.000,UFA,12.691731976225,1
3,0.873,UFA,14.2606509795336-Age,1
4,0.344,UFA,28.5087160711175/Age,1
5,0.326,UFA,31.7514045652623-7.02742620229595*Age,1
7,0.241,UFA,31.2346570737978-0.245060684108892*Temperature*Age,1
9,0.181,UFA,42.6365469523185-0.378267976621552*Temperature-6.96049419115447*Age,1
15,0.114,UFA,49.6207918211259+0.770975317649209*Age^2-0.411613250492857*Temperature-11.5076748319494*Age,1
17,0.103,UFA,66.2768301869279+0.0375726996854409*Temperature*Age^2-0.876148077860912*Temperature-13.56374091057*Age,1
1,1.000,SFA,56.3444295514239,1
3,0.707,SFA,53.467985161923+Age,1
5,0.452,SFA,50.8787542775707+2*Age,1
7,0.319,SFA,52.6179424723523+0.421549588581545*Age^2,1
13,0.315,SFA,54.1526433384799+0.000925134786374107*Temperature*Age^4,1
17,0.232,SFA,74.8298616470885+0.0623168363475957*Temperature*Age^2-0.513319572038929*Temperature-6.68869130975878*Age,1
1,1.000,CFA,30.37497789575,1
3,0.801,CFA,29.4742397868231+Age,1
5,0.561,CFA,16.8613505567308+4.48242185500323*Age,1
6,0.348,CFA,39.4387104347617+-20.6390568550958/Age,1
8,0.291,CFA,41.6240019849887+-708.813416588107/(Temperature*Age),1
17,0.216,CFA,20.4516438366872*Age+1.45501555953041*Temperature-42.5405303961782-0.103443869384632*Temperature*Age^2,1
1,1.000,CFAdivSFA,0.549083422851563,1
5,0.955,CFAdivSFA,0.371206886422567+0.0546309543046317*Age,1
6,0.870,CFAdivSFA,0.693360066578432+-0.355834808700655/Age,1
9,0.624,CFAdivSFA,0.397925320270402*Age-0.0651753606580424*Age^2,1
10,0.606,CFAdivSFA,0.958545737127599+-0.572151168644572/Age-0.0612374477525388*Age,1
17,0.476,CFAdivSFA,0.452309118683889*Age+0.0307265255786916*Temperature-0.970143351829855-0.00255375223483564*Temperature*Age^2,1
21,0.398,CFAdivSFA,0.917534811125633*Age+0.0559472599965835*Temperature-1.71284037113918-0.0158857472004955*Temperature*Age-0.0750060590273263*Age^2,1
1,1.000,CFAdivUFA,Age,1
3,0.899,CFAdivUFA,1.17653483168069*Age,1
5,0.817,CFAdivUFA,0.392178277226896*Age^2,1
7,0.748,CFAdivUFA,0.083007033316709*Temperature*Age-2.37336552096432,1
9,0.614,CFAdivUFA,0.0177319582766296*Temperature*Age^2-0.377723250185499,1
11,0.495,CFAdivUFA,0.321370983985043*Temperature+0.557483148117652*Age^2-9.98458058940489,1
13,0.266,CFAdivUFA,0.503067355283869+0.000152387244996395*Temperature^2*Age^3,1
19,0.251,CFAdivUFA,0.717519461398427+0.000158631965232974*Temperature^2*Age^3-0.00467792933057128*Temperature*Age,1
23,0.183,CFAdivUFA,Age+0.00194528101327856*Temperature*Age^4-0.13955026881604-0.147542819961208*Age^3,1
1,1.000,UFAdivSFA,0.229166666666667,1
4,0.325,UFAdivSFA,0.519608509857043/Age,1
5,0.312,UFAdivSFA,0.603324179021869-0.135626185563546*Age,1
7,0.225,UFAdivSFA,0.556911778794818-0.00414622461025734*Temperature*Age,1
9,0.182,UFAdivSFA,0.792839868359119-0.00683502136219397*Temperature-0.133072937752861*Age,1
15,0.134,UFAdivSFA,0.869257722677416+0.00836040869963927*Age^2-0.00711224686088519*Temperature-0.182655592550779*Age,1
17,0.107,UFAdivSFA,1.09104887117184+0.000450302428620221*Temperature*Age^2-0.0133392412457604*Temperature-0.211620124169541*Age,1
1,1.000,Anisotropie,0.156916666666667,1
5,0.604,Anisotropie,0.134519084290421+0.00792654780785016*Age,1
11,0.600,Anisotropie,0.0868306010442405+0.0018296040344999*Temperature+0.00203379265593711*Age^2,1
15,0.370,Anisotropie,0.0930518264602905*Age+0.0114707551482198*Temperature-0.210016787224056-0.00277956709092382*Temperature*Age,1
17,0.356,Anisotropie,0.0918291965717099*Age+0.000214468742168183*Temperature^2-0.0590611182756579-0.0027503526867782*Temperature*Age,1
25,0.350,Anisotropie,0.00803003715944603+0.00514298869048407*Temperature+0.018008741044455*Age^2-0.0322707591271007*Age-7.87291387797542e-5*Temperature*Age^3,1
