numexp;Temperature;Age;dUFCCong;dtpH07Cong;dtpH07speCong;dUFCLyo;dtpH07Lyo;dtpH07speLyo;dUFCSto3;dtpH07Sto3;dtpH07speSto3;Anisotropie;UFA;SFA;CFA;UFASFA;CFASFA;CFAUFA;Unknown;Oxidoreductases;Transferases;Hydrolases;Lyases;Isomerases;Ligases;AMINO-ACIDBIOSYNTHESIS;BIOSYNTHESISOFCOFACTORSPROSTHETICGROUPSANDCARRIERS;CELLENVELOPE;CELLULARPROCESSES;CENTRALINTERMEDIARYMETABOLISM;ENERGYMETABOLISM;FATTYACIDANDPHOSPHOLIPIDMETABOLISM;Hypotheticalprotein;OTHERCATEGORIES;PURINESPYRIMIDINESNUCLEOSIDESANDNUCLEOTIDES;REGULATORYFUNCTIONS;REPLICATION;TRANSCRIPTION;TRANSLATION;TRANSPORTANDBINDINGPROTEINS;Cellular Processes;Environmental Information Processing;Genetic Information Processing;Human Diseases;Metabolism;Organismal Systems
Autre;condition;condition;PopUFC;PoptpH07;PoptpH07spe;PopUFC;PoptpH07;PoptpH07spe;PopUFC;PoptpH07;PoptpH07spe;CellAniso;Cell;Cell;Cell;Cell;Cell;Cell;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;ECNUMBER;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;BOLOTIN;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO;VOIESMETABO
5;22;4;-1.95E+11;-1.60E+01;8.50E-09;-2.83E+10;1.13E+02;5.96E-08;-6450000000;519;3.87E-06;0.171;6.995972131;59.25924372;33.68920363;0.118057061;0.56850546;4.81551427;1.08E+06;2.11E+05;2.65E+05;2.35E+05;1.12E+05;63804;49660;46650;49292;70341;98443;28062;4.70E+05;20070;2.74E+05;2.58E+05;41044;73974;78390;25971;1.79E+05;3.00E+05;75476;1.85E+05;1.27E+05;2.34E+05;3.62E+05;26536
15;30;3;-2.61E+11;-9.00E+00;8.47E-09;-2.80E+10;7.00E+01;3.12E-08;-10922000000;551;1.28E-05;0.169;9.881483195;55.37515265;34.73922532;0.178446157;0.627343197;3.51558816;1.06E+06;2.17E+05;2.36E+05;1.80E+05;1.26E+05;68416;46580;34813;30455;64780;87730;20952;4.45E+05;14362;3.19E+05;2.58E+05;40769;67669;81988;27261;1.57E+05;2.88E+05;81929;1.93E+05;1.19E+05;2.39E+05;2.88E+05;28337
16;30;4;-1.57E+11;-1.60E+01;9.49E-09;-1.70E+10;7.00E+01;1.67E-08;-15000000000;370;7.94E-07;0.163;3.577958583;62.42599358;33.99308381;0.057315204;0.544534125;9.50069237;1.03E+06;2.31E+05;3.02E+05;2.19E+05;1.49E+05;74395;69372;47350;24582;73168;1.00E+05;27421;5.71E+05;22441;2.07E+05;1.89E+05;41684;71906;80066;28647;2.42E+05;3.46E+05;89701;2.41E+05;1.72E+05;2.59E+05;4.01E+05;36248
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;
