17,0.298,tpH07spe2centri,1.63561796063756e-9+2.98756530131263e-7*UFAdivSFA^3-1.57997992673257e-12*UFA^3
1,1.000,UFCcong,33083333333.3333
5,0.246,UFCcong,22607276747.142+0.0500893486580197*UFCcentri
7,0.221,UFCcong,19552871341.0725+0.00107826862896757*UFCcentri*SFA
9,0.100,UFCcong,26960063086.4903+0.0424782768253699*UFCcentri-1.10038418554509e18*tpH07spe2centri
12,0.051,UFCcong,15312696000.0587+3379294139.001*UFCcentri/(28676063482.2348+0.0469431667746745*UFCcentri)
1,1.000,tpH07cong,tpH07centri
3,0.379,tpH07cong,11.0243464750784*tpH07scentri
5,0.377,tpH07cong,15.8366833400773+10.5969955271962*tpH07scentri
7,0.376,tpH07cong,210.734041391778+0.141750859451379*tpH07scentri^2
13,0.368,tpH07cong,100.591454400055+9.13519744333553*tpH07scentri-0.661808568655759*CFA-27.3966374382736*CFAdivSFA
1,1.000,tpH07scong,tpH07scentri
3,0.400,tpH07scong,1.9966821950802+tpH07scentri
5,0.390,tpH07scong,1.62201052742394+1.01102473204636*tpH07scentri
7,0.357,tpH07scong,19.5188283548236+0.0140070153795791*tpH07scentri^2
9,0.305,tpH07scong,3.31856580303102+1.7412242990996*tpH07scentri-0.0696502451552005*tpH07centri
1,1.000,tpH07spe2cong,1.07374412458883e-8
3,0.455,tpH07spe2cong,8.86853017808998e-9+tpH07spe2centri
5,0.263,tpH07spe2cong,7.34618603720243e-9+1.87777112111866*tpH07spe2centri
7,0.254,tpH07spe2cong,7.03964827903723e-9+0.0360546319743555*SFA*tpH07spe2centri
11,0.179,tpH07spe2cong,4.98789740091027e-9+3.63387501732484*tpH07spe2centri-196293753.272919*tpH07spe2centri^2
13,0.127,tpH07spe2cong,5.57388546559434e-9+0.054691268381914*SFA*tpH07spe2centri-112501825.059753*tpH07spe2centri^2
15,0.116,tpH07spe2cong,5.28440262972042e-9+3.49390041645265*tpH07spe2centri-62250.9773548658*SFA^2*tpH07spe2centri^2
17,0.097,tpH07spe2cong,6.73767717102917e-9+0.0505806078172855*SFA*tpH07spe2centri-2.62511013665834e-10*Age-95721131.7925812*tpH07spe2centri^2
1,1.000,dtpH07cong,-10.0602990516746
3,0.585,dtpH07cong,UFA-18.8454506261249
12,0.441,dtpH07cong,12.7041672138762+(4.10209415931609*UFA-2.05104707965805*SFA)/Age
1,1.000,dUFCcong,1.96071522506631*CFAdivSFA-0.277490577743513
9,0.986,dUFCcong,55.1414148433596*CFAdivSFA+10.3255002304722*Age+0.514739164268346*SFA+0.34241964731125*Age*CFAdivSFA*SFA-28.4770239544387-0.181672646212357*Age*SFA-0.970189000715207*CFAdivSFA*SFA-19.4616758270681*Age*CFAdivSFA
11,0.947,dUFCcong,0.109400977576667+3.27908077192173*Anisotropie+1.84854074895982*UFAdivSFA-3.94238548356359*UFAdivSFA^2
12,0.934,dUFCcong,0.890420685427687+(12.075341069316*UFAdivSFA+73.2315556415024*UFAdivSFA^3-0.943665542824327-51.5061941345233*UFAdivSFA^2)/(CFAdivUFA-3.83166666666667)
1,1.000,dtpH07scong,1.7575
3,0.959,dtpH07scong,2.5121592613314-CFAdivSFA
4,0.673,dtpH07scong,56.9180057371793/CFA
21,0.541,dtpH07scong,3.59337285132426*Age+0.0865478989931527*Temperature+3.63751354994833*Anisotropie*UFA+0.00166438274722192*Temperature^2-19.0439365553419
1,1.000,dtpH07spe2cong,-836306.541726891
5,0.938,dtpH07spe2cong,1855565.80113977*CFAdivSFA-1948810.49667333
7,0.777,dtpH07spe2cong,49583.4491941552*CFA-15075123.3272931*Anisotropie
9,0.637,dtpH07spe2cong,363678.677056707*UFAdivSFA*Age^2-1329697.28026716
19,0.604,dtpH07spe2cong,4355025.60997287+115894.357731409*CFAdivUFA-70824.1088407017*UFA-25388000.9905237*Anisotropie-5624.14554090508*CFAdivUFA*CFA
25,0.558,dtpH07spe2cong,947652.327830159*Age*UFAdivSFA+589906.851434628*UFAdivSFA*CFAdivUFA-604238.765059879-157352.301592593*Anisotropie*CFA-1230.26774908976*UFA^2
1,1.000,UFClyo,10858333333.3333
3,0.795,UFClyo,67050750859.2959*Anisotropie
