NumCDS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
0;1.660434575;3.318994489;3;4.01057397;2.617207063;0.91259368;0;3.375835436;2.050569984;2.238451538;3.247312007;3.043027645;2.251079186;1.685593837;0.787935566;2.093675726;1.994746249;1.085584997
1;8.966346703;12.03135502;8;10.20873374;13.60947673;34.22226301;24.23374751;6.751670872;10.25284992;24.62296691;12.98924803;19.77967969;8.16016205;18.54153221;31.12345486;12.56205436;12.63339291;11.94143497
2;5381.136369;4835.774971;5443;4511.166521;2963.201837;5026.109694;3763.803911;2723.62403;3370.258238;4929.709843;3386.621692;3593.815648;3233.675251;3634.814551;3940.465765;3838.231025;3438.610076;2891.63657
3;75.05164277;66.7947641;68;60.52320718;33.5002504;44.2607935;32.81653309;24.30601514;43.35490824;44.12947317;45.13763689;32.45896154;43.05188944;25.62102633;27.97171259;52.08018369;43.55195978;33.29127324
4;7379.635423;5973.360332;5452;5168.900652;2988.327024;3387.547741;2758.103389;2199.69437;4299.166441;3200.346141;4395.236801;2679.385841;4093.306115;2098.901446;2348.835922;4938.457619;4552.010941;2895.617049
5;280.6134431;186.69344;181;350.3783259;269.0488861;174.3053929;162.0631865;207.9514629;300.2620334;149.0169166;239.6516261;231.270101;295.7355281;192.831935;119.3722382;263.0180131;299.8768528;178.3978012
6;323.784742;121.9730475;159;1175.462771;341.283801;199.858016;209.520942;293.0225158;27.24328693;329.052376;241.9247445;395.0864225;151.9478451;409.2621837;240.7143154;36.11590628;117.357571;311.9247558
7;367.2881279;76.33687326;87;1054.416356;315.1117304;97.19122695;156.0047496;182.9702806;14.93986703;228.9616144;185.7462468;287.0589411;117.0561177;315.2060476;134.7369818;23.03043299;63.83187998;191.4248211
8;452.3023781;487.0624413;585;527.5727759;643.309496;586.7977364;508.9086978;615.7523835;546.9163087;552.8975298;581.9183116;530.5011527;557.9862533;581.5298739;479.4587919;587.0143317;525.283179;570.2939851
9;1255.620625;1206.869371;1231;1249.47609;1380.315005;1152.605818;1117.276734;1222.727595;1428.95434;1075.096296;1156.043074;1145.192737;1359.651829;1175.870261;887.6094151;1355.916742;1334.817698;1049.036969
10;483.850635;394.9603442;540;564.3971369;389.4404109;900.7299625;689.6520646;492.8719736;401.0329012;750.8406015;327.0043191;660.3369989;417.5751891;735.5931506;604.7405469;393.3493271;495.694443;321.3331591
11;1101.864384;932.2225772;1231;1362.501357;884.6159872;1921.922291;1595.893248;919.5775727;985.4453467;1570.753422;764.4172464;1571.723778;1026.773494;1573.670406;1232.725193;902.374238;1178.562576;730.9605646
12;977.9959644;848.8328407;1118;1295.050795;769.4588765;1623.04786;1277.825312;710.9509428;859.7747005;1218.676973;602.7011084;1190.33098;993.288691;1180.252805;907.701772;838.2554189;1166.926556;600.3285033
13;199.2521489;162.2158557;262;268.708456;166.4543692;336.2907712;240.3179962;144.4857567;166.9749844;243.6714388;124.3720499;246.9924105;227.6403827;213.7332986;180.0432768;168.8026054;253.3327737;108.196638
14;282.2738777;226.9362482;280;296.7824738;168.0246934;379.638971;279.1929661;165.4159364;239.9166882;313.0634365;158.7935571;344.8764664;278.2896644;247.1080565;201.3175371;230.3043299;310.1830418;150.1725912
15;60.43981851;54.34853476;67;89.69101788;35.07057464;97.64752379;76.23533072;41.86035941;63.56766951;59.79863393;37.99355048;76.58286239;65.5626813;69.4464661;49.63994066;50.24821743;72.14332268;33.65313491
16;968.6975308;817.302393;1006;1268.799765;639.1219647;1341.51271;1069.314109;550.9363431;842.7842635;939.5100882;560.4860524;1012.821034;989.3493024;857.9672632;650.0468419;764.715059;1125.7018;434.2339988
17;5.313390639;17.00984676;44;3.645976336;6.804738363;22.35854517;9.592525057;12.15300757;5.272894245;18.86694867;8.443011217;9.129082934;6.190467762;11.46203809;18.5164858;2.355385192;2.327203958;9.046541641
18;6.973825213;19.49909263;40;7.656550306;9.945386839;34.22226301;16.15583168;20.25501262;4.979955676;19.82628505;9.41720482;14.20079567;5.627697966;16.51881961;21.27426028;3.402223055;4.654407915;10.4939883
19;3.320869149;3.733868801;13;2.552183435;1.046882825;10.95112416;3.534088179;4.051002523;1.757631415;7.994469777;3.896774408;3.550198919;3.376618779;3.708306442;7.091420094;0.523418932;0.997373125;1.809308328
20;4.317129894;15.76522382;38;3.645976336;4.710972713;37.41634089;10.60226454;12.15300757;2.636447123;20.14606384;5.845161612;13.6936244;7.034622457;17.86729468;22.45616363;3.663932521;3.324577082;11.94143497
21;11.29095511;26.96683023;75;6.198159772;13.08603531;91.25936803;23.22400803;17.55434427;4.687017107;55.64150965;11.69032322;33.47330409;5.909082864;34.38611428;46.09423061;4.710770384;7.978984997;9.770264973
22;3.652956064;9.956983468;26;2.916781069;4.1875313;18.70817045;6.058436878;4.72616961;4.101139969;16.62849714;2.273118405;7.607569111;5.064928169;9.776444256;13.39490462;4.97247985;1.662288541;1.809308328
23;1.660434575;0.414874311;0;0.729195267;0;1.36889052;0;0.675167087;0.878815708;0.639557582;0.649462401;1.014342548;0.844154695;1.34847507;2.757774481;0.523418932;1.994746249;0
24;58.77938394;72.60300446;80;57.97102375;86.89127448;57.49340186;58.06002008;76.96904794;68.54762519;60.43819152;75.98710096;54.7744976;73.16007355;56.29883417;55.15548962;67.25933271;72.8082381;64.41137649
25;95.6410315;87.95335397;98;103.9103256;96.31321991;72.55119759;74.7207215;90.47238968;108.9731477;75.14801591;95.7957042;78.10437621;95.95225032;70.4578224;61.06500636;111.4882324;97.0776508;81.41887477
26;79.36877266;60.57164943;70;74.37791726;65.95361798;41.97930929;41.90418841;58.73953658;83.78043079;53.08327932;54.87957291;48.18127104;69.22068498;45.84815237;41.760585;72.23181256;70.14857643;56.08855818
27;424.0749903;309.4962361;266;273.4482252;210.9468893;157.4224099;146.9170943;129.6320807;398.1035155;180.9947958;207.178506;153.1657248;282.7918228;151.0292078;141.8284019;398.3218069;321.8190616;139.6786029
28;270.9829226;238.9676032;199;300.7930478;262.2441477;80.76454071;126.7223047;145.1609237;289.7162449;92.09629183;210.1010868;160.2661226;291.2333697;128.1051316;63.03484528;259.0923711;290.9004947;193.9578528
29;4.317129894;7.05286329;8;6.198159772;8.375062601;4.106671561;3.029218439;5.401336697;7.32346423;3.517566702;8.443011217;5.071712741;7.034622457;3.708306442;3.151742264;7.327865042;6.981611873;4.342339988
30;696.3862606;598.663631;738;586.6375925;1068.867364;551.2065829;489.2187779;1039.082147;751.0944914;443.5331832;872.8774674;613.1700704;541.9473141;552.2005411;505.4606656;837.732;524.9507213;854.7172543
31;596.7601861;472.9567147;442;523.9267995;713.4506453;317.5826008;379.6620444;609.0007126;759.8826485;344.401758;622.1849805;402.1868204;498.8954247;467.9208492;321.8716787;770.9960862;518.6340248;622.0402032
32;4.649216809;4.978491734;5;5.833562138;6.281296951;2.281484201;5.048697399;3.375835436;4.979955676;5.116460657;4.221505609;4.057370193;5.627697966;3.034068907;2.363806698;5.757608247;8.976358122;3.980478322
33;12.28721585;12.03135502;15;18.59447932;7.328179776;10.03853048;8.077915838;9.452339221;12.01048134;9.593363733;11.36559202;14.70796695;15.7575543;7.416612884;13.39490462;14.91743955;17.62025854;7.599094979
34;1508.338768;1515.535859;1474;694.5584921;1861.357663;540.7117556;534.6570545;1633.904351;1904.393638;527.9547841;1784.397948;602.5194736;688.5488461;640.5256582;518.4616024;2087.13299;702.1506798;1748.515568
35;3341.790625;2662.248455;1697;2005.651583;1974.421008;663.9119024;704.2932871;1256.485949;3116.573438;833.6633084;2161.735603;755.6851984;2025.689883;890.3306649;613.8018059;2755.277256;2452.872971;1510.410592
36;4585.456121;3723.082068;2747;2864.27901;2669.551204;940.8840844;1055.177756;1703.446561;4155.040665;1138.412496;2997.918445;1246.626992;2800.905278;1255.093171;879.3360916;3970.656015;3017.053702;2125.213562
37;2838.014775;2217.088319;1627;1768.298523;1626.332469;495.0820716;622.5043892;949.2849246;2488.220207;626.4466517;1810.376444;761.7712537;1675.647069;646.9309147;464.8819839;2521.047284;1704.843128;1207.170517
38;2098.789302;1635.01966;1185;1315.103665;1141.625721;358.1930195;430.1490184;611.0262139;1768.470142;415.0728708;1410.957067;590.3473631;1185.474576;414.9932027;297.8396439;1901.319269;1276.6376;896.6932075
39;15649.59587;12447.05908;9899;10014.03861;8532.618466;2475.410358;2900.476655;4680.258248;12985.67383;2872.253102;10379.38337;3877.831562;8370.637954;2936.304465;2205.431649;13407.89935;9624.983111;6429.919937
40;8468.880504;6826.75679;5163;5588.917126;4620.417349;1282.194121;1542.881925;2413.04717;6868.82357;1429.411196;5103.800281;1611.283138;4398.60873;1399.042885;1070.016499;7128.704138;5019.114021;3010.689058
41;377.9149092;297.4648811;261;254.1245506;199.9546196;56.12451134;59.06975956;99.24956182;306.1208048;52.76350053;245.1720565;67.96095073;189.3720365;54.61324033;43.73042391;305.4149466;207.7860676;112.538978
42;10496.60321;7837.390612;6265;6709.690252;5380.977721;1587.913004;1724.130162;2754.681716;8692.073225;1754.946005;6324.140133;1985.068367;5402.308662;1735.824534;1262.666744;8472.058826;6399.145968;3415.974124
43;3567.941814;2714.522618;1949;2248.838204;1875.490581;525.197663;667.9426658;949.9600917;2991.19573;631.5631124;2405.284003;905.8078955;1895.69006;610.5220879;541.7057016;3133.709143;2177.597989;1400.042784
44;71.39868671;127.7812878;155;106.0979114;107.3054896;184.8002203;117.1297796;114.1032377;80.85104509;160.2091743;119.5010818;99.40556972;65.2812964;116.6430935;149.7077575;84.27044798;82.11705393;105.6636064
45;274.9679655;394.9603442;422;388.6610775;300.9788122;578.1280965;445.7999803;267.3661665;261.5941423;498.5351353;354.9312023;416.8947873;250.7139444;385.3267512;366.784006;307.5086223;264.6363357;252.9413043
46;574.5103628;354.7175361;289;270.5314442;151.2745682;374.6197058;435.7025855;60.08987076;588.2206469;247.8285631;246.4709813;305.317107;566.4278003;195.1917664;118.5843027;551.4218444;576.1492083;68.75371647
47;2435.193347;1820.053603;2044;1128.429676;928.5850659;1993.104598;1986.157557;556.3376798;2359.620175;1524.065718;1272.296844;1370.883954;1691.404624;1172.499073;930.5519034;2334.971854;1962.830309;433.5102754
48;105.6036389;104.5483264;103;71.09653856;86.36783307;125.0253342;83.80837682;43.88586067;94.32621928;106.1665586;70.46667055;78.61154749;86.10377888;76.86307898;86.27894447;101.2815633;93.75307372;58.9834515
49;72.72703437;71.35838152;68;88.96182261;79.56309471;68.44452602;71.18663332;76.96904794;89.3462636;50.84482778;77.61075696;62.88923799;94.26394093;70.12070363;63.03484528;85.31728584;85.44163101;64.41137649
